schema,dbms,criterion,datagenerator,randomseed,merges
RiskIt,SQLite,ClauseAICC+AUCC+ANCC,dominoRandom,3,42
RiskIt,SQLite,ClauseAICC+AUCC+ANCC,dominoRandom,4,38
RiskIt,SQLite,ClauseAICC+AUCC+ANCC,dominoRandom,5,43
RiskIt,SQLite,ClauseAICC+AUCC+ANCC,dominoRandom,6,40
RiskIt,SQLite,ClauseAICC+AUCC+ANCC,dominoRandom,7,36
RiskIt,SQLite,ClauseAICC+AUCC+ANCC,dominoRandom,8,40
RiskIt,SQLite,ClauseAICC+AUCC+ANCC,dominoRandom,9,34
RiskIt,SQLite,ClauseAICC+AUCC+ANCC,dominoRandom,10,32
RiskIt,SQLite,ClauseAICC+AUCC+ANCC,dominoRandom,11,35
RiskIt,SQLite,ClauseAICC+AUCC+ANCC,dominoRandom,12,40
RiskIt,SQLite,ClauseAICC+AUCC+ANCC,dominoRandom,13,33
RiskIt,SQLite,ClauseAICC+AUCC+ANCC,dominoRandom,14,37
RiskIt,SQLite,ClauseAICC+AUCC+ANCC,dominoRandom,15,41
RiskIt,SQLite,ClauseAICC+AUCC+ANCC,dominoRandom,16,34
RiskIt,SQLite,ClauseAICC+AUCC+ANCC,dominoRandom,17,35
RiskIt,SQLite,ClauseAICC+AUCC+ANCC,dominoRandom,18,37
RiskIt,SQLite,ClauseAICC+AUCC+ANCC,dominoRandom,19,38
RiskIt,SQLite,ClauseAICC+AUCC+ANCC,dominoRandom,20,29
RiskIt,SQLite,ClauseAICC+AUCC+ANCC,dominoRandom,21,36
RiskIt,SQLite,ClauseAICC+AUCC+ANCC,dominoRandom,22,40
RiskIt,SQLite,ClauseAICC+AUCC+ANCC,dominoRandom,23,35
RiskIt,SQLite,ClauseAICC+AUCC+ANCC,dominoRandom,24,32
RiskIt,SQLite,ClauseAICC+AUCC+ANCC,dominoRandom,25,33
RiskIt,SQLite,ClauseAICC+AUCC+ANCC,dominoRandom,26,39
RiskIt,SQLite,ClauseAICC+AUCC+ANCC,dominoRandom,27,42
RiskIt,SQLite,ClauseAICC+AUCC+ANCC,dominoRandom,28,43
RiskIt,SQLite,ClauseAICC+AUCC+ANCC,dominoRandom,29,43
RiskIt,SQLite,ClauseAICC+AUCC+ANCC,dominoRandom,30,38
RiskIt,SQLite,ClauseAICC+AUCC+ANCC,avsDefaults,1,22
RiskIt,SQLite,ClauseAICC+AUCC+ANCC,avsDefaults,2,22
RiskIt,SQLite,ClauseAICC+AUCC+ANCC,avsDefaults,3,22
RiskIt,SQLite,ClauseAICC+AUCC+ANCC,avsDefaults,4,22
RiskIt,SQLite,ClauseAICC+AUCC+ANCC,avsDefaults,5,22
RiskIt,SQLite,ClauseAICC+AUCC+ANCC,avsDefaults,6,22
RiskIt,SQLite,ClauseAICC+AUCC+ANCC,avsDefaults,7,22
RiskIt,SQLite,ClauseAICC+AUCC+ANCC,avsDefaults,8,22
RiskIt,SQLite,ClauseAICC+AUCC+ANCC,avsDefaults,9,22
RiskIt,SQLite,ClauseAICC+AUCC+ANCC,avsDefaults,10,22
